Unnamed: 0,Brand,Year,months,days,Qty,Rate,Amount
562,22,2018,9,25,15,3300.0,49500.0
563,9,2018,9,25,12,2820.0,33840.0
564,57,2018,9,25,10,3300.0,33000.0
565,46,2018,9,25,7,2460.0,17220.0
566,70,2018,9,25,16,2050.0,32800.0
567,70,2018,9,25,16,2050.0,32800.0
568,46,2018,9,25,14,2460.0,34440.0
569,57,2018,9,25,10,3300.0,33000.0
570,22,2018,9,25,10,3300.0,33000.0
571,10,2018,9,25,14,2480.0,34720.0
572,44,2018,9,25,20,1840.0,36800.0
573,46,2018,9,25,14,2460.0,34440.0
574,70,2018,9,25,16,2050.0,32800.0
575,65,2018,9,25,50,1500.0,75000.0
576,33,2018,9,25,180,2850.0,513000.0
577,46,2018,9,25,210,2460.0,516600.0
578,70,2018,9,25,240,2050.0,492000.0
579,44,2018,9,25,300,1840.0,552000.0
580,76,2018,9,25,100,1500.0,150000.0
581,65,2018,9,27,50,1500.0,75000.0
582,70,2018,9,27,8,2050.0,16400.0
583,44,2018,9,27,10,1850.0,18500.0
584,9,2018,9,27,6,2850.0,17100.0
585,33,2018,9,27,6,2850.0,17100.0
586,65,2018,9,27,50,1500.0,75000.0
587,76,2018,9,27,20,1500.0,30000.0
588,33,2018,9,27,6,2850.0,17100.0
589,70,2018,9,27,32,2050.0,65600.0
590,46,2018,9,27,28,2460.0,68880.0
591,33,2018,9,27,18,2850.0,51300.0
592,76,2018,9,28,250,1500.0,375000.0
593,65,2018,9,28,210,1500.0,315000.0
594,44,2018,9,28,220,1840.0,404800.0
595,46,2018,9,28,80,2050.0,164000.0
596,70,2018,9,28,80,2050.0,164000.0
597,46,2018,9,28,70,2460.0,172200.0
598,10,2018,9,28,105,2480.0,260400.0
599,22,2018,9,28,50,3300.0,165000.0
600,33,2018,9,28,60,2850.0,171000.0
601,9,2018,9,29,24,2820.0,67680.0
602,22,2018,9,29,15,3300.0,49500.0
