,Product Name,Price
379,"realme 3 (Diamond Red, 64 GB)","₹12,999"
380,"ASUS ZenFone Max M2 (Black, 32 GB)","₹12,999"
381,"ASUS ZenFone Max M2 (Black, 64 GB)","₹14,999"
382,"ASUS ROG Phone 5 (Black, 128 GB)","₹49,999"
383,"ASUS Zenfone Max Pro M1 (Grey, 64 GB)","₹17,999"
384,"ASUS ZenFone 5Z (Meteor Silver, 256 GB)","₹43,999"
385,"ASUS ZenFone Max M2 (Blue, 32 GB)","₹12,999"
386,"ASUS Zenfone 3 (White, 32 GB)","₹22,999"
387,"ASUS ZenFone 5Z (Midnight Blue, 128 GB)","₹36,299"
388,"ASUS 6Z (Black, 64 GB)","₹35,999"
389,"ASUS ZenFone Max M1 (Black, 64 GB)","₹9,599"
390,"ASUS Zenfone Max Pro M1 (Black, 32 GB)","₹13,199"
391,"ASUS Zenfone Max Pro M1 (Grey, 32 GB)","₹13,199"
392,"ASUS Zenfone Go 5.0 (Black, 8 GB)","₹7,999"
393,"ASUS Zenfone Max ZC550KL (Blue, 32 GB)","₹14,499"
394,"ASUS ZenFone Max M2 (Silver, 64 GB)","₹14,999"
395,"ASUS Zenfone Go 4.5 (Pink, 8 GB)","₹5,299"
396,"ASUS Zenfone Go 4.5 (Black, 8 GB)","₹5,299"
397,"ASUS ZenFone Max M2 (Blue, 64 GB)","₹14,999"
