Brand,Year,months,days,Qty,Rate,Amount
46,2018,9,24,35,2460.0,86100.0
44,2018,9,24,50,1840.0,92000.0
46,2018,9,24,35,2460.0,86100.0
76,2018,9,24,10,1500.0,15000.0
10,2018,9,24,7,2480.0,17360.0
46,2018,9,24,7,2460.0,17220.0
9,2018,9,24,6,2820.0,16920.0
22,2018,9,24,5,3300.0,16500.0
57,2018,9,24,5,3300.0,16500.0
70,2018,9,24,8,2050.0,16400.0
46,2018,9,24,21,2460.0,51660.0
70,2018,9,24,24,2050.0,49200.0
44,2018,9,24,20,1840.0,36800.0
33,2018,9,24,12,2850.0,34200.0
57,2018,9,24,25,3300.0,82500.0
22,2018,9,24,25,3300.0,82500.0
44,2018,9,24,50,1840.0,92000.0
27,2018,9,24,35,2470.0,86450.0
70,2018,9,24,40,2050.0,82000.0
33,2018,9,24,30,2850.0,85500.0
46,2018,9,24,21,2460.0,51660.0
70,2018,9,24,16,2050.0,32800.0
33,2018,9,24,6,2850.0,17100.0
46,2018,9,24,35,2460.0,86100.0
70,2018,9,24,40,2050.0,82000.0
33,2018,9,24,30,2850.0,85500.0
44,2018,9,24,50,1840.0,92000.0
27,2018,9,24,35,2470.0,86450.0
46,2018,9,24,7,2460.0,17220.0
70,2018,9,24,8,2050.0,16400.0
44,2018,9,24,10,1840.0,18400.0
70,2018,9,24,40,2050.0,82000.0
10,2018,9,24,14,2480.0,34720.0
9,2018,9,24,24,2820.0,67680.0
33,2018,9,24,12,2850.0,34200.0
70,2018,9,24,48,2050.0,98400.0
46,2018,9,24,42,2460.0,103320.0
33,2018,9,24,36,2850.0,102600.0
46,2018,9,24,14,2460.0,34440.0
70,2018,9,24,8,2050.0,16400.0
33,2018,9,24,6,2850.0,17100.0
76,2018,9,24,10,1500.0,15000.0
46,2018,9,24,35,2460.0,86100.0
70,2018,9,24,16,2050.0,32800.0
46,2018,9,24,21,2460.0,51660.0
57,2018,9,24,10,3300.0,33000.0
44,2018,9,25,50,1840.0,92000.0
22,2018,9,25,10,3300.0,33000.0
9,2018,9,25,12,2820.0,33840.0
33,2018,9,25,12,2850.0,34200.0
20,2018,9,25,72,510.0,36720.0
34,2018,9,25,96,515.0,49440.0
70,2018,9,25,32,2050.0,65600.0
65,2018,9,25,30,1500.0,45000.0
76,2018,9,25,30,1500.0,45000.0
46,2018,9,25,14,2460.0,34440.0
27,2018,9,25,20,1500.0,30000.0
27,2018,9,25,14,2470.0,34580.0
10,2018,9,25,14,2480.0,34720.0
57,2018,9,25,10,3300.0,33000.0
22,2018,9,25,25,3300.0,82500.0
57,2018,9,25,25,3300.0,82500.0
9,2018,9,25,30,2820.0,84600.0
33,2018,9,25,30,2850.0,85500.0
46,2018,9,25,35,2460.0,86100.0
44,2018,9,25,50,1840.0,92000.0
44,2018,9,25,50,1840.0,92000.0
46,2018,9,25,35,2460.0,86100.0
70,2018,9,25,40,2050.0,82000.0
27,2018,9,25,35,2470.0,86450.0
22,2018,9,25,25,3300.0,82500.0
57,2018,9,25,25,3300.0,82500.0
9,2018,9,25,30,2820.0,84600.0
70,2018,9,25,40,2050.0,82000.0
33,2018,9,25,30,2850.0,85500.0
22,2018,9,25,15,3300.0,49500.0
9,2018,9,25,12,2820.0,33840.0
57,2018,9,25,10,3300.0,33000.0
46,2018,9,25,7,2460.0,17220.0
70,2018,9,25,16,2050.0,32800.0
70,2018,9,25,16,2050.0,32800.0
46,2018,9,25,14,2460.0,34440.0
57,2018,9,25,10,3300.0,33000.0
22,2018,9,25,10,3300.0,33000.0
10,2018,9,25,14,2480.0,34720.0
44,2018,9,25,20,1840.0,36800.0
46,2018,9,25,14,2460.0,34440.0
70,2018,9,25,16,2050.0,32800.0
65,2018,9,25,50,1500.0,75000.0
33,2018,9,25,180,2850.0,513000.0
46,2018,9,25,210,2460.0,516600.0
70,2018,9,25,240,2050.0,492000.0
44,2018,9,25,300,1840.0,552000.0
76,2018,9,25,100,1500.0,150000.0
65,2018,9,27,50,1500.0,75000.0
70,2018,9,27,8,2050.0,16400.0
44,2018,9,27,10,1850.0,18500.0
9,2018,9,27,6,2850.0,17100.0
33,2018,9,27,6,2850.0,17100.0
65,2018,9,27,50,1500.0,75000.0
76,2018,9,27,20,1500.0,30000.0
33,2018,9,27,6,2850.0,17100.0
70,2018,9,27,32,2050.0,65600.0
46,2018,9,27,28,2460.0,68880.0
33,2018,9,27,18,2850.0,51300.0
76,2018,9,28,250,1500.0,375000.0
65,2018,9,28,210,1500.0,315000.0
44,2018,9,28,220,1840.0,404800.0
46,2018,9,28,80,2050.0,164000.0
70,2018,9,28,80,2050.0,164000.0
46,2018,9,28,70,2460.0,172200.0
10,2018,9,28,105,2480.0,260400.0
22,2018,9,28,50,3300.0,165000.0
33,2018,9,28,60,2850.0,171000.0
9,2018,9,29,24,2820.0,67680.0
22,2018,9,29,15,3300.0,49500.0
46,2018,9,29,40,2050.0,82000.0
76,2018,9,29,10,1520.0,15200.0
46,2018,9,29,8,2070.0,16560.0
33,2018,9,29,6,2870.0,17220.0
46,2018,9,29,8,2050.0,16400.0
33,2018,9,29,6,2850.0,17100.0
46,2018,9,29,80,2050.0,164000.0
46,2018,9,29,63,2460.0,154980.0
9,2018,9,29,30,2820.0,84600.0
46,2018,9,29,7,2460.0,17220.0
46,2018,9,29,40,2050.0,82000.0
65,2018,9,29,10,1500.0,15000.0
46,2018,9,29,8,2050.0,16400.0
70,2018,9,29,8,2050.0,16400.0
46,2018,9,29,7,2460.0,17220.0
44,2018,9,29,10,1840.0,18400.0
70,2018,9,29,8,2050.0,16400.0
27,2018,9,29,7,2470.0,17290.0
9,2018,9,29,6,2850.0,17100.0
46,2018,9,30,40,2050.0,82000.0
70,2018,9,30,40,2050.0,82000.0
44,2018,9,30,50,1840.0,92000.0
46,2018,9,30,35,2460.0,86100.0
33,2018,9,30,30,2850.0,85500.0
27,2018,9,30,35,2470.0,86450.0
67,2018,9,30,35,2150.0,75250.0
30,2018,9,30,50,1500.0,75000.0
46,2018,9,30,7,2460.0,17220.0
44,2018,9,30,50,1840.0,92000.0
46,2018,9,30,40,2050.0,82000.0
10,2018,9,30,21,2500.0,52500.0
76,2018,10,1,50,1500.0,75000.0
65,2018,10,1,50,1500.0,75000.0
70,2018,10,1,40,2050.0,82000.0
46,2018,10,1,40,2050.0,82000.0
46,2018,10,1,40,2050.0,82000.0
46,2018,10,1,7,2460.0,17220.0
44,2018,10,1,10,1840.0,18400.0
57,2018,10,1,5,3300.0,16500.0
22,2018,10,1,5,3300.0,16500.0
10,2018,10,1,7,2480.0,17360.0
76,2018,10,1,10,1500.0,15000.0
70,2018,10,1,8,2050.0,16400.0
44,2018,10,1,10,1840.0,18400.0
46,2018,10,1,7,2460.0,17220.0
70,2018,10,1,8,2050.0,16400.0
22,2018,10,1,5,3300.0,16500.0
57,2018,10,1,5,3300.0,16500.0
76,2018,10,1,10,1500.0,15000.0
10,2018,10,1,7,2480.0,17360.0
44,2018,10,1,50,1840.0,92000.0
46,2018,10,1,40,2050.0,82000.0
46,2018,10,1,21,2460.0,51660.0
76,2018,10,1,20,1500.0,30000.0
67,2018,10,1,7,2150.0,15050.0
10,2018,10,1,7,2480.0,17360.0
27,2018,10,1,7,2470.0,17290.0
9,2018,10,1,6,2850.0,17100.0
22,2018,10,1,10,3300.0,33000.0
18,2018,10,1,3,2450.0,7350.0
